year,school_name_x,school_name_y,ptr
2019,CIVIC LEADERSHIP ACADEMY,Civic Leadership Academy,16.9
2020,CIVIC LEADERSHIP ACADEMY,Civic Leadership Academy,16.5
2022,CIVIC LEADERSHIP ACADEMY,Civic Leadership Academy,16.9
2019,CLARA BARTON HIGH SCHOOL,Clara Barton High School,15.5
2020,CLARA BARTON HIGH SCHOOL,Clara Barton High School,16.8
2022,CLARA BARTON HIGH SCHOOL,Clara Barton High School,16.3
2019,COBBLE HILL SCHOOL OF AMERICAN STUDIES,Cobble Hill School of American Studies,13.7
2020,COBBLE HILL SCHOOL OF AMERICAN STUDIES,Cobble Hill School of American Studies,13.2
2022,COBBLE HILL SCHOOL OF AMERICAN STUDIES,Cobble Hill School of American Studies,12.8
2019,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,Collegiate Institute for Math and Science,17.5
2020,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,Collegiate Institute for Math and Science,17.1
2022,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,Collegiate Institute for Math and Science,16.7
2019,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,Community Health Academy of the Heights,13.6
2020,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,Community Health Academy of the Heights,12.9
2022,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,Community Health Academy of the Heights,13.1
2019,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,Community School for Social Justice,12.8
2020,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,Community School for Social Justice,12.2
2022,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,Community School for Social Justice,12.5
2019,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,Comprehensive Model School Project M.S. 327,14.1
2020,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,Comprehensive Model School Project M.S. 327,13.2
2022,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,Comprehensive Model School Project M.S. 327,13.0
2019,CONCORD HIGH SCHOOL,Concord High School,11.3
2020,CONCORD HIGH SCHOOL,Concord High School,12.3
2022,CONCORD HIGH SCHOOL,Concord High School,10.8
2019,CROTONA INTERNATIONAL HIGH SCHOOL,Crotona International High School,12.3
2020,CROTONA INTERNATIONAL HIGH SCHOOL,Crotona International High School,13.3
2022,CROTONA INTERNATIONAL HIGH SCHOOL,Crotona International High School,13.2
2019,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,CSI High School for International Studies,17.4
2020,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,CSI High School for International Studies,17.3
2022,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,CSI High School for International Studies,17.4
2019,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,Cultural Academy for the Arts and Sciences,12.2
2020,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,Cultural Academy for the Arts and Sciences,12.4
2022,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,Cultural Academy for the Arts and Sciences,11.9
2019,CURTIS HIGH SCHOOL,Curtis High School,16.7
2020,CURTIS HIGH SCHOOL,Curtis High School,16.4
2022,CURTIS HIGH SCHOOL,Curtis High School,16.3
2019,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,Cypress Hills Collegiate Preparatory School,14.9
2020,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,Cypress Hills Collegiate Preparatory School,14.7
2022,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,Cypress Hills Collegiate Preparatory School,14.3
2019,DEWITT CLINTON HIGH SCHOOL,DeWitt Clinton High School,13.3
2020,DEWITT CLINTON HIGH SCHOOL,DeWitt Clinton High School,11.8
2022,DEWITT CLINTON HIGH SCHOOL,DeWitt Clinton High School,11.7
2019,DREAMYARD PREPARATORY SCHOOL,DreamYard Preparatory School,10.5
2020,DREAMYARD PREPARATORY SCHOOL,DreamYard Preparatory School,11.9
2022,DREAMYARD PREPARATORY SCHOOL,DreamYard Preparatory School,11.9
2019,EAGLE ACADEMY FOR YOUNG MEN,Eagle Academy for Young Men,15.0
2020,EAGLE ACADEMY FOR YOUNG MEN,Eagle Academy for Young Men,13.8
2022,EAGLE ACADEMY FOR YOUNG MEN,Eagle Academy for Young Men,13.6
2019,EAGLE ACADEMY FOR YOUNG MEN II,Eagle Academy for Young Men,15.3
2020,EAGLE ACADEMY FOR YOUNG MEN II,Eagle Academy for Young Men,13.7
2022,EAGLE ACADEMY FOR YOUNG MEN II,Eagle Academy for Young Men,13.9
2019,EAGLE ACADEMY FOR YOUNG MEN III,Eagle Academy for Young Men,14.1
2020,EAGLE ACADEMY FOR YOUNG MEN III,Eagle Academy for Young Men,13.4
2022,EAGLE ACADEMY FOR YOUNG MEN III,Eagle Academy for Young Men,13.4
2019,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,Eagle Academy for Young Men of Harlem,10.5
2020,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,Eagle Academy for Young Men of Harlem,10.2
2022,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,Eagle Academy for Young Men of Harlem,10.2
2019,EAST BRONX ACADEMY FOR THE FUTURE,East Bronx Academy for the Future,10.5
2020,EAST BRONX ACADEMY FOR THE FUTURE,East Bronx Academy for the Future,10.4
2022,EAST BRONX ACADEMY FOR THE FUTURE,East Bronx Academy for the Future,10.5
2019,EAST NEW YORK FAMILY ACADEMY,East New York Family Academy,13.2
2020,EAST NEW YORK FAMILY ACADEMY,East New York Family Academy,13.2
2022,EAST NEW YORK FAMILY ACADEMY,East New York Family Academy,13.0
2019,EAST SIDE COMMUNITY SCHOOL,East Side Community School,13.8
2020,EAST SIDE COMMUNITY SCHOOL,East Side Community School,13.5
2022,EAST SIDE COMMUNITY SCHOOL,East Side Community School,13.7
2019,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,East-West School of International Studies,10.8
2020,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,East-West School of International Studies,11.2
2022,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,East-West School of International Studies,11.2
2019,EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK,EBC High School for Public Service - Bushwick,13.6
2020,EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK,EBC High School for Public Service - Bushwick,13.9
2022,EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK,EBC High School for Public Service - Bushwick,14.1
2019,ELEANOR ROOSEVELT HIGH SCHOOL,Eleanor Roosevelt High School,16.2
2020,ELEANOR ROOSEVELT HIGH SCHOOL,Eleanor Roosevelt High School,16.9
2022,ELEANOR ROOSEVELT HIGH SCHOOL,Eleanor Roosevelt High School,16.7
2019,EMMA LAZARUS HIGH SCHOOL,Emma Lazarus High School,16.3
2020,EMMA LAZARUS HIGH SCHOOL,Emma Lazarus High School,15.7
2022,EMMA LAZARUS HIGH SCHOOL,Emma Lazarus High School,16.0
2019,ENERGY TECH HIGH SCHOOL,Energy Tech High School,15.0
2020,ENERGY TECH HIGH SCHOOL,Energy Tech High School,13.2
2022,ENERGY TECH HIGH SCHOOL,Energy Tech High School,11.7
2019,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),English Language Learners and International Support Preparatory Academy (ELLIS),12.9
2020,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),English Language Learners and International Support Preparatory Academy (ELLIS),13.7
2022,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),English Language Learners and International Support Preparatory Academy (ELLIS),13.5
2019,EPIC HIGH SCHOOL - NORTH,Epic High School - North,14.8
2020,EPIC HIGH SCHOOL - NORTH,Epic High School - North,16.1
2022,EPIC HIGH SCHOOL - NORTH,Epic High School - North,16.1
2019,EPIC HIGH SCHOOL - SOUTH,Epic High School - South,15.0
2020,EPIC HIGH SCHOOL - SOUTH,Epic High School - South,16.2
2022,EPIC HIGH SCHOOL - SOUTH,Epic High School - South,16.4
2019,ESPERANZA PREPARATORY ACADEMY,Esperanza Preparatory Academy,11.4
2020,ESPERANZA PREPARATORY ACADEMY,Esperanza Preparatory Academy,10.5
2022,ESPERANZA PREPARATORY ACADEMY,Esperanza Preparatory Academy,10.4
2019,EXCELSIOR PREPARATORY HIGH SCHOOL,Excelsior Preparatory High School,15.6
2020,EXCELSIOR PREPARATORY HIGH SCHOOL,Excelsior Preparatory High School,14.6
2022,EXCELSIOR PREPARATORY HIGH SCHOOL,Excelsior Preparatory High School,14.6
2019,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,Eximius College Preparatory Academy: A College Board School,14.1
2020,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,Eximius College Preparatory Academy: A College Board School,13.1
2022,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,Eximius College Preparatory Academy: A College Board School,13.5
2019,EXPLORATIONS ACADEMY,Explorations Academy High School,11.7
2020,EXPLORATIONS ACADEMY,Explorations Academy High School,11.3
2022,EXPLORATIONS ACADEMY,Explorations Academy High School,11.4
2019,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,Fannie Lou Hamer Freedom High School,12.1
2020,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,Fannie Lou Hamer Freedom High School,12.4
2022,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,Fannie Lou Hamer Freedom High School,12.9
2019,FLUSHING HIGH SCHOOL,Flushing High School,13.6
2020,FLUSHING HIGH SCHOOL,Flushing High School,14.6
2022,FLUSHING HIGH SCHOOL,Flushing High School,14.5
2019,FLUSHING INTERNATIONAL HIGH SCHOOL,Flushing High School,13.9
2020,FLUSHING INTERNATIONAL HIGH SCHOOL,Flushing High School,14.7
2022,FLUSHING INTERNATIONAL HIGH SCHOOL,Flushing High School,14.3
2019,FOOD AND FINANCE HIGH SCHOOL,Food and Finance High School,12.7
2020,FOOD AND FINANCE HIGH SCHOOL,Food and Finance High School,12.8
2022,FOOD AND FINANCE HIGH SCHOOL,Food and Finance High School,12.5
2019,FORDHAM HIGH SCHOOL FOR THE ARTS,Fordham High School for the Arts,9.7
2020,FORDHAM HIGH SCHOOL FOR THE ARTS,Fordham High School for the Arts,11.5
2022,FORDHAM HIGH SCHOOL FOR THE ARTS,Fordham High School for the Arts,11.6
2019,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,Fordham Leadership Academy,9.9
2020,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,Fordham Leadership Academy,11.2
2022,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,Fordham Leadership Academy,11.4
2019,FOREST HILLS HIGH SCHOOL,Forest Hills High School,18.5
2020,FOREST HILLS HIGH SCHOOL,Forest Hills High School,16.9
2022,FOREST HILLS HIGH SCHOOL,Forest Hills High School,17.1
2019,FORT HAMILTON HIGH SCHOOL,Fort Hamilton High School,19.8
2020,FORT HAMILTON HIGH SCHOOL,Fort Hamilton High School,19.8
2022,FORT HAMILTON HIGH SCHOOL,Fort Hamilton High School,19.7
2019,FRANCIS LEWIS HIGH SCHOOL,Francis Lewis High School,17.5
2020,FRANCIS LEWIS HIGH SCHOOL,Francis Lewis High School,17.8
2022,FRANCIS LEWIS HIGH SCHOOL,Francis Lewis High School,17.6
2019,FRANK MCCOURT HIGH SCHOOL,Frank McCourt High School,15.5
2020,FRANK MCCOURT HIGH SCHOOL,Frank McCourt High School,16.1
2022,FRANK MCCOURT HIGH SCHOOL,Frank McCourt High School,15.2
2019,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,Frank Sinatra School of the Arts High School,15.8
2020,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,Frank Sinatra School of the Arts High School,15.1
2022,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,Frank Sinatra School of the Arts High School,15.3
2019,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,Franklin Delano Roosevelt High School,15.8
2020,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,Franklin Delano Roosevelt High School,15.4
2022,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,Franklin Delano Roosevelt High School,15.4
2019,FREDERICK DOUGLASS ACADEMY,Frederick Douglass Academy,15.4
2020,FREDERICK DOUGLASS ACADEMY,Frederick Douglass Academy,14.1
2022,FREDERICK DOUGLASS ACADEMY,Frederick Douglass Academy,13.9
2019,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,Frederick Douglass Academy,11.5
2020,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,Frederick Douglass Academy,10.8
2022,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,Frederick Douglass Academy,11.0
2019,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,Frederick Douglass Academy,12.4
2020,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,Frederick Douglass Academy,10.8
2022,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,Frederick Douglass Academy,10.9
2019,FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL,Frederick Douglass Academy,14.0
2020,FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL,Frederick Douglass Academy,11.4
2022,FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL,Frederick Douglass Academy,12.3
2019,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,Frederick Douglass Academy VI High School,12.7
2020,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,Frederick Douglass Academy VI High School,11.7
2022,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,Frederick Douglass Academy VI High School,11.5
2019,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,Frederick Douglass Academy VII High School,12.5
2020,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,Frederick Douglass Academy VII High School,10.1
2022,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,Frederick Douglass Academy VII High School,10.1
2019,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,Frederick Douglass Academy,13.1
2020,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,Frederick Douglass Academy,14.7
2022,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,Frederick Douglass Academy,14.6
2019,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,Gaynor McCown Expeditionary Learning School,12.1
2020,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,Gaynor McCown Expeditionary Learning School,10.5
2022,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,Gaynor McCown Expeditionary Learning School,10.5
2019,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,George Washington Carver High School for the Sciences,14.8
2020,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,George Washington Carver High School for the Sciences,16.2
2022,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,George Washington Carver High School for the Sciences,15.8
2019,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,George Westinghouse Career and Technical Education,14.5
2020,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,George Westinghouse Career and Technical Education,14.2
2022,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,George Westinghouse Career and Technical Education,14.2
2019,GRAMERCY ARTS HIGH SCHOOL,Gramercy Arts High School,13.7
2020,GRAMERCY ARTS HIGH SCHOOL,Gramercy Arts High School,15.2
2022,GRAMERCY ARTS HIGH SCHOOL,Gramercy Arts High School,14.7
2019,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,Gregorio Luperon High School for Science and Mathematics,17.5
2020,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,Gregorio Luperon High School for Science and Mathematics,16.7
2022,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,Gregorio Luperon High School for Science and Mathematics,16.8
2019,GROVER CLEVELAND HIGH SCHOOL,Grover Cleveland High School,15.4
2020,GROVER CLEVELAND HIGH SCHOOL,Grover Cleveland High School,15.9
2022,GROVER CLEVELAND HIGH SCHOOL,Grover Cleveland High School,15.9
2019,HARLEM RENAISSANCE HIGH SCHOOL,Harlem Renaissance High School,11.7
2020,HARLEM RENAISSANCE HIGH SCHOOL,Harlem Renaissance High School,12.4
2022,HARLEM RENAISSANCE HIGH SCHOOL,Harlem Renaissance High School,10.8
2019,HARRY S TRUMAN HIGH SCHOOL,Harry S Truman High School,17.9
2020,HARRY S TRUMAN HIGH SCHOOL,Harry S Truman High School,17.3
2022,HARRY S TRUMAN HIGH SCHOOL,Harry S Truman High School,17.5
2019,HARVEST COLLEGIATE HIGH SCHOOL,Harvest Collegiate High School,11.9
2020,HARVEST COLLEGIATE HIGH SCHOOL,Harvest Collegiate High School,13.3
2022,HARVEST COLLEGIATE HIGH SCHOOL,Harvest Collegiate High School,12.7
2019,HARVEY MILK HIGH SCHOOL,Harvey Milk High School,7.5
2020,HARVEY MILK HIGH SCHOOL,Harvey Milk High School,7.8
2022,HARVEY MILK HIGH SCHOOL,Harvey Milk High School,7.6
2019,HEALTH OPPORTUNITIES HIGH SCHOOL,Health Opportunities High School,14.7
2020,HEALTH OPPORTUNITIES HIGH SCHOOL,Health Opportunities High School,14.3
2022,HEALTH OPPORTUNITIES HIGH SCHOOL,Health Opportunities High School,13.7
2019,HIGH SCHOOL FOR ARTS AND BUSINESS,High School for Arts and Business,15.5
2020,HIGH SCHOOL FOR ARTS AND BUSINESS,High School for Arts and Business,16.3
2022,HIGH SCHOOL FOR ARTS AND BUSINESS,High School for Arts and Business,16.1
2019,HIGH SCHOOL FOR CIVIL RIGHTS,High School for Civil Rights,16.2
2020,HIGH SCHOOL FOR CIVIL RIGHTS,High School for Civil Rights,15.3
2022,HIGH SCHOOL FOR CIVIL RIGHTS,High School for Civil Rights,13.6
2019,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,High School for Community Leadership,16.6
2020,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,High School for Community Leadership,14.9
2022,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,High School for Community Leadership,15.2
2019,HIGH SCHOOL FOR CONTEMPORARY ARTS,High School for Contemporary Arts,13.8
2020,HIGH SCHOOL FOR CONTEMPORARY ARTS,High School for Contemporary Arts,14.7
2022,HIGH SCHOOL FOR CONTEMPORARY ARTS,High School for Contemporary Arts,13.4
2019,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,High School for Dual Language and Asian Studies,16.2
2020,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,High School for Dual Language and Asian Studies,16.8
2022,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,High School for Dual Language and Asian Studies,16.4
2019,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,High School for Environmental Studies,15.1
2020,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,High School for Environmental Studies,16.3
2022,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,High School for Environmental Studies,16.3
2019,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,High School for Excellence and Innovation,8.8
2020,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,High School for Excellence and Innovation,9.7
2022,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,High School for Excellence and Innovation,9.7
2019,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,Academy for Health Careers,10.6
2020,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,Academy for Health Careers,11.7
2022,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,Academy for Health Careers,11.5
2019,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,High School for Health Professions and Human Services,19.1
2020,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,High School for Health Professions and Human Services,19.1
2022,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,High School for Health Professions and Human Services,18.9
2019,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,High School for Innovation in Advertising and Media,11.0
2020,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,High School for Innovation in Advertising and Media,9.0
2022,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,High School for Innovation in Advertising and Media,9.0
2019,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,High School for Law and Public Service,15.1
2020,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,High School for Law and Public Service,16.7
2022,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,High School for Law and Public Service,16.7
2019,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,High School for Law Enforcement and Public Safety,16.1
2020,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,High School for Law Enforcement and Public Safety,13.5
2022,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,High School for Law Enforcement and Public Safety,13.2
2019,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE","High School for Law, Advocacy and Community Justice",12.9
2020,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE","High School for Law, Advocacy and Community Justice",14.2
2022,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE","High School for Law, Advocacy and Community Justice",13.9
2019,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,High School for Media and Communications,15.0
2020,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,High School for Media and Communications,13.3
2022,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,High School for Media and Communications,13.2
2019,HIGH SCHOOL FOR MEDICAL PROFESSIONS,High School for Medical Professions,17.0
2020,HIGH SCHOOL FOR MEDICAL PROFESSIONS,High School for Medical Professions,16.6
2022,HIGH SCHOOL FOR MEDICAL PROFESSIONS,High School for Medical Professions,16.8
2019,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,High School for Public Service: Heroes of Tomorrow,15.6
2020,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,High School for Public Service: Heroes of Tomorrow,16.0
2022,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,High School for Public Service: Heroes of Tomorrow,16.6
2019,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,High School for Service & Learning at Erasmus,15.3
2020,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,High School for Service & Learning at Erasmus,14.7
2022,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,High School for Service & Learning at Erasmus,15.0
2019,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,High School for Teaching and the Professions,12.8
2020,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,High School for Teaching and the Professions,13.2
2022,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,High School for Teaching and the Professions,13.1
2019,HIGH SCHOOL FOR VIOLIN AND DANCE,High School for Violin and Dance,14.0
2020,HIGH SCHOOL FOR VIOLIN AND DANCE,High School for Violin and Dance,12.9
2022,HIGH SCHOOL FOR VIOLIN AND DANCE,High School for Violin and Dance,12.9
2019,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,High School of American Studies at Lehman College,16.4
